Medicamento,Nome_do_Arquivo_PDF,Doencas_CIDs,Caminho_Local,URL_Origem
azatioprina,32_azatioprina_retocolite_v5.pdf,,pdfs_bmed_alto_custo\32_azatioprina_retocolite_v5.pdf,https://www.saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/32_azatioprina_retocolite_v5.pdf
azatioprina,34_azatioprina_transplante_renal__v4.pdf,,pdfs_bmed_alto_custo\34_azatioprina_transplante_renal__v4.pdf,https://www.saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/34_azatioprina_transplante_renal__v4.pdf
azatioprina,35_azatioprina_transplante_cardiaco_v6.pdf,,pdfs_bmed_alto_custo\35_azatioprina_transplante_cardiaco_v6.pdf,https://www.saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/35_azatioprina_transplante_cardiaco_v6.pdf
azatioprina,36_azatioprina_transplante_coracao_e_pulmao_v3_05-25.pdf,,pdfs_bmed_alto_custo\36_azatioprina_transplante_coracao_e_pulmao_v3_05-25.pdf,https://www.saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/36_azatioprina_transplante_coracao_e_pulmao_v3_05-25.pdf
azatioprina,281_azatioprina_transplante_hepatico_adultos_v12.pdf,,pdfs_bmed_alto_custo\281_azatioprina_transplante_hepatico_adultos_v12.pdf,https://www.saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/281_azatioprina_transplante_hepatico_adultos_v12.pdf
azatioprina,38_azatioprina_transplante_hepatico_em_pediatria_v7_2_.pdf,,pdfs_bmed_alto_custo\38_azatioprina_transplante_hepatico_em_pediatria_v7_2_.pdf,https://www.saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/38_azatioprina_transplante_hepatico_em_pediatria_v7_2_.pdf
azatioprina,39_azatioprina_transplante_de_medula_ou_pancreas_v5_sem_pcdt.pdf,,pdfs_bmed_alto_custo\39_azatioprina_transplante_de_medula_ou_pancreas_v5_sem_pcdt.pdf,https://www.saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/39_azatioprina_transplante_de_medula_ou_pancreas_v5_sem_pcdt.pdf
azatioprina,40_azatioprina_uveites_v16.pdf,,pdfs_bmed_alto_custo\40_azatioprina_uveites_v16.pdf,https://www.saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/40_azatioprina_uveites_v16.pdf
azatioprina,484_azatioprina_artrite_idiopatica_juvenil_v8.pdf,,pdfs_bmed_alto_custo\484_azatioprina_artrite_idiopatica_juvenil_v8.pdf,https://www.saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/484_azatioprina_artrite_idiopatica_juvenil_v8.pdf
bezafibrato,bezafibrato_dislipidemia_v7.pdf,,pdfs_bmed_alto_custo\bezafibrato_dislipidemia_v7.pdf,http://www.saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/bezafibrato_dislipidemia_v7.pdf
bosentana,45_bosentana_hipertensao_arterial_pulmonar_v9_1_.pdf,,pdfs_bmed_alto_custo\45_bosentana_hipertensao_arterial_pulmonar_v9_1_.pdf,http://www.saude.sp.gov.br/resources/ses/perfil/gestor/assistencia-farmaceutica/medicamentos-do-componente-especializado-da-assistencia-farmaceutica/45_bosentana_hipertensao_arterial_pulmonar_v9_1_.pdf
budesonida,50_budesonida_asma_v12.pdf,,pdfs_bmed_alto_custo\50_budesonida_asma_v12.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/50_budesonida_asma_v12.pdf
budesonida,51_budesonida_dpoc_v11.pdf,,pdfs_bmed_alto_custo\51_budesonida_dpoc_v11.pdf,https://saude.sp.gov.br/resources/ses/perfil/gestor/assistencia-farmaceutica/medicamentos-do-componente-especializado-da-assistencia-farmaceutica/51_budesonida_dpoc_v11.pdf
cabergolina,52_cabergolina_acromegalia_v7.pdf,,pdfs_bmed_alto_custo\52_cabergolina_acromegalia_v7.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/52_cabergolina_acromegalia_v7.pdf
cabergolina,53_cabergolina_hiperprolactinemia_v17.pdf,,pdfs_bmed_alto_custo\53_cabergolina_hiperprolactinemia_v17.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/53_cabergolina_hiperprolactinemia_v17.pdf
calcipotriol,54_calcipotriol_psoriase_v12.pdf,,pdfs_bmed_alto_custo\54_calcipotriol_psoriase_v12.pdf,http://www.saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/54_calcipotriol_psoriase_v12.pdf
calcitonina,55_calcitonina_doenca_paget_v19.pdf,,pdfs_bmed_alto_custo\55_calcitonina_doenca_paget_v19.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/55_calcitonina_doenca_paget_v19.pdf
calcitonina,56_calcitonina_osteoporose_v6.pdf,,pdfs_bmed_alto_custo\56_calcitonina_osteoporose_v6.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/56_calcitonina_osteoporose_v6.pdf
calcitriol,293_calcitriol_disturbio_mineral_osseo_drc_v22.pdf,,pdfs_bmed_alto_custo\293_calcitriol_disturbio_mineral_osseo_drc_v22.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/293_calcitriol_disturbio_mineral_osseo_drc_v22.pdf
calcitriol,57_calcitriol_hipoparatireoidismo_v3.pdf,,pdfs_bmed_alto_custo\57_calcitriol_hipoparatireoidismo_v3.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/57_calcitriol_hipoparatireoidismo_v3.pdf
calcitriol,59_calcitriol_osteoporose_01_24.pdf,,pdfs_bmed_alto_custo\59_calcitriol_osteoporose_01_24.pdf,https://saude.sp.gov.br/resources/ses/perfil/gestor/assistencia-farmaceutica/medicamentos-dos-componentes-da-assistencia-farmaceutica/medicamentos-do-componente-basico-da-assistencia-farnaceutica/59_calcitriol_osteoporose_01_24.pdf
calcitriol,60_calcitriol_raquitismo_osteomalacia_v7.pdf,,pdfs_bmed_alto_custo\60_calcitriol_raquitismo_osteomalacia_v7.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/60_calcitriol_raquitismo_osteomalacia_v7.pdf
calcitriol,60_calcitriol_raquitismo_osteomalacia_v6.pdf,,pdfs_bmed_alto_custo\60_calcitriol_raquitismo_osteomalacia_v6.pdf,https://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/60_calcitriol_raquitismo_osteomalacia_v6.pdf
certolizumabe pegol,500_certolizumabe_pegol_artrite_psoriasica_v9.pdf,,pdfs_bmed_alto_custo\500_certolizumabe_pegol_artrite_psoriasica_v9.pdf,http://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/500_certolizumabe_pegol_artrite_psoriasica_v9.pdf
certolizumabe pegol,61_certolizumabe_pegol_artrite_reumatoide_v7.pdf,,pdfs_bmed_alto_custo\61_certolizumabe_pegol_artrite_reumatoide_v7.pdf,http://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/61_certolizumabe_pegol_artrite_reumatoide_v7.pdf
certolizumabe pegol,289_certolizumabe_pegol_crohn_v10_2_.pdf,,pdfs_bmed_alto_custo\289_certolizumabe_pegol_crohn_v10_2_.pdf,http://saude.sp.gov.br/resources/ses/perfil/gestor/assistencia-farmaceutica/medicamentos-do-componente-especializado-da-assistencia-farmaceutica/289_certolizumabe_pegol_crohn_v10_2_.pdf
certolizumabe pegol,450_certolizumabe_pegol_espondilite_v5.pdf,,pdfs_bmed_alto_custo\450_certolizumabe_pegol_espondilite_v5.pdf,http://saude.sp.gov.br/resources/ses/perfil/cidadao/acesso-rapido/medicamentos/relacao-estadual-de-medicamentos-do-componente-especializado-da-assistencia-farmaceutica/consulta-por-medicamento/cartilhas-medicamentos/450_certolizumabe_pegol_espondilite_v5.pdf
